NamePlanet,NamePlanet_link,star_name,AltName,RAdeg,DECdeg,RadiusPlanet_EU,orbital_period_EU,semi_major_axis_EU,eccentricity_EU,inclination_EU,omega_EU,tzero_tr_EU,log_g_EU,magK_EU,star_Metallicity_EU,star_Radius_EU,star_Teff_EU,Tstar_Ex,FeH_star_Ex,Rstar_Ex,loggstar_Ex,semimajoraxis_Ex,Rpl_Ex
Kepler-32 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=325,KOI-952,Kepler-32,297.8423926,46.57427492,0.33,8.7522,0.09,,,,2454977.378,,,,0.53,3900,,,,,,
Kepler-249 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=315,KOI-899,Kepler-249,296.9851006,43.65852884,0.097,3.306539,0.035,,,,,,11.966,0.221,0.48,3568,,,,,,
Kepler-249 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=316,KOI-899,Kepler-249,296.9851006,43.65852884,0.135,7.113702,0.058,,,,,,11.966,0.221,0.48,3568,,,,,,
Kepler-249 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=317,KOI-899,Kepler-249,296.9851006,43.65852884,0.14,15.368459,0.097,,,,,,11.966,0.221,0.48,3568,,,,,,
Kepler-1625 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=407,Kepler-1625,KOI-5084,295.429334,39.88652749,0.6,287.378949,,,,,,,13.916,0.01,1.793,5677,,,,,,
Kepler-1485 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=293,Kepler-18,Kepler-18,298.0794534,44.74633542,0.131,19.9157725,,,,,,,,0.2,1.108,5383,,,,,,
Kepler-18 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=295,Kepler-18,Kepler-18,298.0794534,44.74633542,0.1784283673,3.504725,0.0447,,84.92,,2454966.5068,,,0.2,1.108,5383,,,,,,
Kepler-18 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=296,Kepler-18,Kepler-18,298.0794534,44.74633542,0.4888937263,7.64159,0.0752,,87.68,,2455167.0883,,,0.2,1.108,5383,,,,,,
Kepler-18 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=297,Kepler-18,Kepler-18,298.0794534,44.74633542,0.6218228599,14.85888,0.1172,,88.07,,2455169.1776,,,0.2,1.108,5383,,,,,,
Kepler-11 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=274,KOI-157,KEPLER-11,297.115123,41.909138,0.1605855305,10.30375,0.091,,88.5,,2454971.5052,,,,1.1,5680,,,,,,
Kepler-11 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=275,KOI-157,KEPLER-11,297.115123,41.909138,0.256044707,13.02502,0.106,,89,,2454971.1748,,,,1.1,5680,,,,,,
Kepler-11 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=276,KOI-157,KEPLER-11,297.115123,41.909138,0.2783482529,22.68719,0.159,,89.3,,2454981.455,,,,1.1,5680,,,,,,
Kepler-11 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=277,KOI-157,KEPLER-11,297.115123,41.909138,0.374,31.9959,0.194,,88.8,,2454987.159,,,,1.1,5680,,,,,,
Kepler-11 f,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=278,KOI-157,KEPLER-11,297.115123,41.909138,0.2221433172,46.68876,0.25,,89.4,,2454964.6487,,,,1.1,5680,,,,,,
