planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
TRAPPIST-1e;14873.02; transit with an additional transit by TRAPPIST-1g;2457660.379;3.80E-04;6.099615;1.10E-05;57751.16745;112.008;2.70E-05;15
TRAPPIST-1d;14873.03; transit with an additional transit by TRAPPIST-1f;2457670.142;3.50E-04;4.04961;6.30E-05;57762.70535;112.008;3.58E-04;23
TRAPPIST-1e;14873.04; transit with an additional transit by TRAPPIST-1g;2457660.379;3.80E-04;6.099615;1.10E-05;57763.42286;112.008;3.06E-05;17
WASP-17b;14918.02; transit;2454592.802;5.00E-05;3.7354845;1.90E-06;57957.78799;134.354;4.58E-04;901
WASP-17b;14918.03; transit;2454592.802;5.00E-05;3.7354845;1.90E-06;58021.30021;134.354;4.67E-04;918
WASP-107b;14916.01; transit;2457584.33;1.10E-05;5.72149242;4.60E-07;57904.06524;103.129;4.50E-06;56
WASP-107b;14915.01; transit;2457584.33;1.10E-05;5.72149242;4.60E-07;57909.76254;112.008;4.58E-06;57
Kepler-16b;14927.01; transit;2455212.123;0.00E+00;228.776;2.00E-02;57913.4785;0.556;1.03E-03;12
WASP-33b;15109.01; eclipse;2455507.522;3.00E-04;1.2198675;1.10E-06;58059.46552;23.774;1.89E-03;2092
TRAPPIST-1g;15304.1; transit;2457665.349;2.10E-04;12.35294;1.20E-04;58097.14104;112.008;3.40E-04;35
TRAPPIST-1h;15304.2; transit;2457662.553;3.70E-04;18.767;4.00E-03;58750.46793;112.008;1.24E-02;58
TRAPPIST-1c;15304.13; transit with an additional transit by TRAPPIST-1h;2457362.726;3.30E-04;2.421848;2.80E-05;58318.77212;112.008;4.57E-03;395
WASP-121b;15135.02; eclipse;2456635.708;1.10E-04;1.2749255;2.00E-07;58096.70787;103.129;1.80E-04;1146
WASP-121b;15135.01; eclipse;2456635.708;1.10E-04;1.2749255;2.00E-07;58063.59053;103.129;1.76E-04;1120
Kepler-79d;15138.01; transit;2455721.011;2.00E-03;52.0902;9.00E-04;58220.49833;290.776;8.29E-04;48
Kepler-79d;15138.02; transit;2455721.011;2.00E-03;52.0902;9.00E-04;58428.88252;290.776;8.98E-04;52
WASP-121b;15134.02; phase curve including 1 transits 2 eclipses;2456635.708;1.10E-04;1.2749255;2.00E-07;58517.36719;103.129;2.32E-04;1476
WASP-121b;15134.01; phase curve including 1 transits 2 eclipses;2456635.708;1.10E-04;1.2749255;2.00E-07;58189.74114;103.129;1.91E-04;1219
Kepler-1625b;15149.01; transit;2455181.83;8.33E-03;287.378949;2.98E-03;58054.2881;290.776;1.04E-04;10
KELT-11b;15255.01; transit;2457483.431;7.00E-04;4.7361;3.00E-05;58226.16896;46.696;9.94E-04;157
HD3167c;15333.08; transit;2457394.979;1.20E-03;29.8454;1.20E-03;58319.4407;69.617;1.25E-03;31
HD3167c;15333.05; transit;2457394.979;1.20E-03;29.8454;1.20E-03;58259.77824;69.617;1.17E-03;29
